"trial","tau","sim","rew_arm1","rew_arm2","estmu_arm1","estmu_arm2","exploit_choice","choice","rew_obs"
1,2,1,23,4,NA,NA,NA,1,23
2,2,1,1,-1,23,NA,NA,2,-1
3,2,1,10,-8,23,-1,1,1,10
4,2,1,34,28,16.5,-1,1,1,34
5,2,1,10,-2,22.3333333333333,-1,1,1,10
6,2,1,-26,4,19.25,-1,1,1,-26
7,2,1,6,-18,10.2,-1,1,1,6
8,2,1,9,-5,9.5,-1,1,1,9
9,2,1,-23,-2,9.42857142857143,-1,1,1,-23
10,2,1,13,-5,5.375,-1,1,1,13
11,2,1,25,-7,6.22222222222222,-1,1,1,25
12,2,1,16,3,8.1,-1,1,1,16
13,2,1,-10,-16,8.81818181818182,-1,1,1,-10
14,2,1,1,-11,7.25,-1,1,1,1
15,2,1,-4,21,6.76923076923077,-1,1,1,-4
16,2,1,5,-31,6,-1,1,1,5
17,2,1,-5,-5,5.93333333333333,-1,1,1,-5
18,2,1,11,5,5.25,-1,1,1,11
19,2,1,10,-29,5.58823529411765,-1,1,1,10
20,2,1,21,-15,5.83333333333333,-1,1,1,21
21,2,1,5,-17,6.63157894736842,-1,1,1,5
22,2,1,-10,0,6.55,-1,1,1,-10
23,2,1,-16,2,5.76190476190476,-1,1,1,-16
24,2,1,-25,2,4.77272727272727,-1,1,1,-25
25,2,1,1,6,3.47826086956522,-1,1,1,1
1,2,2,3,-18,NA,NA,NA,2,-18
2,2,2,13,-24,NA,-18,NA,1,13
3,2,2,20,-28,13,-18,1,1,20
4,2,2,-6,-3,16.5,-18,1,1,-6
5,2,2,-7,11,9,-18,1,1,-7
6,2,2,7,-3,5,-18,1,1,7
7,2,2,13,5,5.4,-18,1,1,13
8,2,2,3,-26,6.66666666666667,-18,1,1,3
9,2,2,-4,-14,6.14285714285714,-18,1,1,-4
10,2,2,-18,-14,4.875,-18,1,1,-18
11,2,2,-1,14,2.33333333333333,-18,1,1,-1
12,2,2,23,-15,2,-18,1,1,23
13,2,2,26,-35,3.90909090909091,-18,1,1,26
14,2,2,18,-15,5.75,-18,1,1,18
15,2,2,-10,35,6.69230769230769,-18,1,1,-10
16,2,2,46,-18,5.5,-18,1,1,46
17,2,2,15,7,8.2,-18,1,1,15
18,2,2,9,-20,8.625,-18,1,1,9
19,2,2,3,5,8.64705882352941,-18,1,1,3
20,2,2,-20,-28,8.33333333333333,-18,1,1,-20
21,2,2,33,5,6.8421052631579,-18,1,1,33
22,2,2,-17,-19,8.15,-18,1,1,-17
23,2,2,26,-16,6.95238095238095,-18,1,1,26
24,2,2,-12,3,7.81818181818182,-18,1,1,-12
25,2,2,22,-15,6.95652173913044,-18,1,1,22
1,2,3,-4,-41,NA,NA,NA,2,-41
2,2,3,-27,30,NA,-41,NA,2,30
3,2,3,3,-10,NA,-5.5,NA,1,3
4,2,3,-18,8,3,-5.5,1,1,-18
5,2,3,-1,-3,-7.5,-5.5,1,2,-3
6,2,3,11,12,-7.5,-4.66666666666667,1,2,12
7,2,3,-6,-10,-7.5,-0.5,1,2,-10
8,2,3,18,8,-7.5,-2.4,1,2,8
9,2,3,-17,-12,-7.5,-0.666666666666667,1,2,-12
10,2,3,28,-22,-7.5,-2.28571428571429,1,2,-22
11,2,3,-5,-20,-7.5,-4.75,1,2,-20
12,2,3,11,-27,-7.5,-6.44444444444445,1,2,-27
13,2,3,13,-16,-7.5,-8.5,0,2,-16
14,2,3,4,-5,-7.5,-9.18181818181818,0,2,-5
15,2,3,13,-10,-7.5,-8.83333333333333,0,2,-10
16,2,3,-1,12,-7.5,-8.92307692307692,0,2,12
17,2,3,-9,3,-7.5,-7.42857142857143,0,1,-9
18,2,3,5,1,-8,-7.42857142857143,1,2,1
19,2,3,12,-27,-8,-6.86666666666667,0,1,12
20,2,3,-2,17,-3,-6.86666666666667,1,1,-2
21,2,3,-3,-36,-2.8,-6.86666666666667,0,2,-36
22,2,3,2,-10,-2.8,-8.6875,1,1,2
23,2,3,21,-2,-2,-8.6875,1,1,21
24,2,3,-20,15,1.28571428571429,-8.6875,1,1,-20
25,2,3,-7,-8,-1.375,-8.6875,1,1,-7
1,2,4,12,18,NA,NA,NA,1,12
2,2,4,-20,-2,12,NA,NA,2,-2
3,2,4,22,-10,12,-2,1,1,22
4,2,4,11,-18,17,-2,1,1,11
5,2,4,-14,15,15,-2,1,1,-14
6,2,4,0,4,7.75,-2,1,1,0
7,2,4,8,-26,6.2,-2,1,1,8
8,2,4,1,-1,6.5,-2,1,1,1
9,2,4,-9,27,5.71428571428571,-2,1,1,-9
10,2,4,7,12,3.875,-2,1,1,7
11,2,4,-18,-26,4.22222222222222,-2,1,1,-18
12,2,4,1,-5,2,-2,1,1,1
13,2,4,5,-6,1.90909090909091,-2,1,1,5
14,2,4,6,-6,2.16666666666667,-2,0,2,-6
15,2,4,15,-23,2.16666666666667,-4,1,1,15
16,2,4,15,-42,3.15384615384615,-4,1,1,15
17,2,4,2,-7,4,-4,1,1,2
18,2,4,19,-15,3.86666666666667,-4,1,1,19
19,2,4,-4,-30,4.8125,-4,1,1,-4
20,2,4,18,-18,4.29411764705882,-4,1,1,18
21,2,4,-8,-6,5.05555555555555,-4,1,1,-8
22,2,4,-15,-21,4.36842105263158,-4,1,1,-15
23,2,4,8,3,3.4,-4,1,1,8
24,2,4,10,-34,3.61904761904762,-4,1,1,10
25,2,4,8,0,3.90909090909091,-4,1,1,8
1,2,5,-11,14,NA,NA,NA,1,-11
2,2,5,28,-1,-11,NA,NA,2,-1
3,2,5,-12,3,-11,-1,1,2,3
4,2,5,10,0,-11,1,1,2,0
5,2,5,14,24,-11,0.666666666666667,1,2,24
6,2,5,13,8,-11,6.5,1,2,8
7,2,5,18,-4,-11,6.8,1,2,-4
8,2,5,-11,33,-11,5,1,2,33
9,2,5,13,-16,-11,9,1,2,-16
10,2,5,9,-16,-11,5.875,1,2,-16
11,2,5,13,5,-11,3.44444444444445,1,2,5
12,2,5,-8,4,-11,3.6,1,2,4
13,2,5,-13,-5,-11,3.63636363636364,1,2,-5
14,2,5,17,16,-11,2.91666666666667,1,2,16
15,2,5,15,-14,-11,3.92307692307692,1,2,-14
16,2,5,-27,-21,-11,2.64285714285714,1,2,-21
17,2,5,2,-6,-11,1.06666666666667,1,2,-6
18,2,5,9,-17,-11,0.625,1,2,-17
19,2,5,8,12,-11,-0.411764705882353,1,2,12
20,2,5,9,9,-11,0.277777777777777,1,2,9
21,2,5,10,12,-11,0.736842105263158,1,2,12
22,2,5,9,20,-11,1.3,1,2,20
23,2,5,-13,6,-11,2.19047619047619,1,2,6
24,2,5,5,2,-11,2.36363636363636,1,2,2
25,2,5,11,6,-11,2.34782608695652,1,2,6
1,2,6,26,-5,NA,NA,NA,1,26
2,2,6,38,-12,26,NA,NA,1,38
3,2,6,4,31,32,NA,NA,2,31
4,2,6,-11,23,32,31,1,1,-11
5,2,6,3,-29,17.6666666666667,31,1,2,-29
6,2,6,0,-24,17.6666666666667,1,1,1,0
7,2,6,1,12,13.25,1,1,1,1
8,2,6,10,-1,10.8,1,1,1,10
9,2,6,23,-7,10.6666666666667,1,1,1,23
10,2,6,2,-23,12.4285714285714,1,1,1,2
11,2,6,14,-5,11.125,1,1,1,14
12,2,6,30,-15,11.4444444444444,1,1,1,30
13,2,6,4,-2,13.3,1,1,1,4
14,2,6,3,-1,12.4545454545455,1,1,1,3
15,2,6,2,-26,11.6666666666667,1,1,1,2
16,2,6,43,0,10.9230769230769,1,1,1,43
17,2,6,-2,7,13.2142857142857,1,1,1,-2
18,2,6,-7,-11,12.2,1,1,1,-7
19,2,6,19,6,11,1,1,1,19
20,2,6,-9,17,11.4705882352941,1,1,1,-9
21,2,6,-15,-13,10.3333333333333,1,1,1,-15
22,2,6,9,-8,9,1,1,1,9
23,2,6,11,12,9,1,1,1,11
24,2,6,2,-28,9.0952380952381,1,1,1,2
25,2,6,9,0,8.77272727272727,1,1,1,9
1,2,7,-20,0,NA,NA,NA,2,0
2,2,7,30,-6,NA,0,NA,2,-6
3,2,7,-3,16,NA,-3,NA,2,16
4,2,7,17,4,NA,3.33333333333333,NA,2,4
